occ_code,percentage_some_college_or_less,percentage_associates_degree,percentage_bachelors_degree_or_higher
00-0000,0.515,0.095,0.389
11-1011,0.235,0.048,0.716
11-1021,0.438,0.1,0.462
11-1031,0.235,0.048,0.716
11-2011,0.135,0.062,0.803
11-2021,0.136,0.05,0.815
11-2022,0.318,0.09,0.592
11-2030,0.085,0.039,0.876
11-3010,0.433,0.12,0.446
11-3021,0.172,0.08,0.748
11-3031,0.283,0.076,0.642
11-3051,0.455,0.091,0.453
11-3061,0.306,0.079,0.615
11-3071,0.584,0.099,0.316
11-3111,0.272,0.032,0.696
11-3121,0.224,0.079,0.699
11-3131,0.243,0.075,0.682
11-9013,0.631,0.111,0.259
11-9021,0.568,0.089,0.341
11-9031,0.121,0.044,0.835
11-9032,0.121,0.044,0.835
11-9033,0.121,0.044,0.835
11-9039,0.121,0.044,0.835
11-9041,0.117,0.049,0.834
11-9051,0.643,0.098,0.26
11-9071,0.481,0.101,0.419
11-9081,0.441,0.093,0.465
11-9111,0.24,0.112,0.648
11-9121,0.071,0.04,0.888
11-9131,0.372,0.075,0.553
11-9141,0.473,0.1,0.427
11-9151,0.206,0.058,0.736
11-9161,0.205,0.078,0.717
11-9171,0.372,0.075,0.553
11-9198,0.354,0.074,0.572
13-1011,0.272,0.044,0.684
13-1020,0.468,0.098,0.433
13-1031,0.375,0.11,0.515
13-1032,0.375,0.11,0.515
13-1041,0.272,0.085,0.643
13-1051,0.527,0.098,0.375
13-1071,0.26,0.083,0.657
13-1074,0.26,0.083,0.657
13-1075,0.26,0.083,0.657
13-1081,0.418,0.138,0.444
13-1111,0.169,0.052,0.78
13-1121,0.255,0.092,0.654
13-1131,0.094,0.018,0.889
13-1141,0.341,0.12,0.54
13-1151,0.383,0.089,0.528
13-1161,0.162,0.049,0.788
13-1198,0.237,0.078,0.685
13-2011,0.068,0.073,0.858
13-2020,0.342,0.088,0.568
13-2031,0.155,0.064,0.781
13-2041,0.239,0.085,0.676
13-2052,0.128,0.044,0.828
13-2053,0.292,0.088,0.621
13-2061,0.129,0.053,0.819
13-2071,0.37,0.098,0.533
13-2072,0.37,0.098,0.533
13-2081,0.409,0.107,0.484
13-2082,0.37,0.109,0.522
13-2098,0.132,0.034,0.834
15-1211,0.18,0.082,0.738
15-1212,0.207,0.101,0.692
15-1221,0.047,0.009,0.944
15-1231,0.357,0.155,0.488
15-1232,0.357,0.155,0.488
15-1241,0.282,0.162,0.556
15-1244,0.277,0.168,0.556
15-1245,0.199,0.065,0.736
15-1251,0.195,0.073,0.731
15-1256,0.096,0.044,0.859
15-1257,0.203,0.09,0.708
15-1299,0.265,0.102,0.634
15-2011,0.009,0.005,0.986
15-2021,0.122,0.034,0.845
15-2031,0.191,0.064,0.745
15-2041,0.122,0.034,0.845
15-2098,0.122,0.034,0.845
17-1011,0.054,0.027,0.919
17-1012,0.122,0.041,0.837
17-1021,0.137,0.118,0.744
17-1022,0.137,0.118,0.744
17-2011,0.063,0.036,0.901
17-2021,0.107,0.076,0.817
17-2031,0.107,0.076,0.817
17-2041,0.073,0.04,0.888
17-2051,0.076,0.034,0.89
17-2061,0.106,0.083,0.812
17-2071,0.092,0.063,0.846
17-2072,0.092,0.063,0.846
17-2081,0.069,0.034,0.898
17-2111,0.184,0.079,0.738
17-2112,0.184,0.079,0.738
17-2121,0.238,0.039,0.723
17-2131,0.137,0.087,0.774
17-2141,0.11,0.08,0.809
17-2151,0.093,0.041,0.866
17-2161,0.106,0.072,0.821
17-2171,0.093,0.041,0.866
17-2199,0.106,0.072,0.821
17-3011,0.325,0.327,0.349
17-3012,0.369,0.33,0.301
17-3013,0.369,0.33,0.301
17-3019,0.369,0.33,0.301
17-3021,0.592,0.202,0.206
17-3022,0.592,0.202,0.206
17-3023,0.543,0.309,0.149
17-3024,0.592,0.202,0.206
17-3025,0.592,0.202,0.206
17-3026,0.592,0.202,0.206
17-3027,0.592,0.202,0.206
17-3031,0.658,0.246,0.095
17-3098,0.592,0.202,0.206
19-1011,0,0,1
19-1012,0,0,1
19-1013,0,0,1
19-1021,0,0,1
19-1022,0,0,1
19-1023,0,0,1
19-1029,0,0,1
19-1031,0,0,1
19-1032,0,0,1
19-1041,0.013,0.007,0.98
19-1042,0.013,0.007,0.98
19-1099,0.013,0.007,0.98
19-2011,0,0,1
19-2012,0,0,1
19-2021,0.066,0.022,0.913
19-2031,0.039,0.019,0.942
19-2032,0.039,0.019,0.942
19-2041,0,0,1
19-2042,0,0,1
19-2043,0,0,1
19-2099,0,0,1
19-3011,0,0,1
19-3022,0.06,0.049,0.89
19-3031,0,0,1
19-3032,0,0,1
19-3039,0,0,1
19-3041,0.06,0.049,0.89
19-3051,0,0,1
19-3091,0.06,0.049,0.89
19-3092,0.06,0.049,0.89
19-3093,0.06,0.049,0.89
19-3094,0.06,0.049,0.89
19-3099,0.06,0.049,0.89
19-4010,0.56,0.162,0.279
19-4021,0.411,0.115,0.475
19-4031,0.475,0.117,0.408
19-4042,0.416,0.137,0.447
19-4045,0.416,0.137,0.447
19-4051,0.416,0.137,0.447
19-4061,0.412,0.137,0.452
19-4071,0.412,0.137,0.452
19-4092,0.412,0.137,0.452
19-4099,0.412,0.137,0.45
19-5011,0.395,0.118,0.486
19-5012,0.395,0.118,0.486
21-1012,0.106,0.026,0.867
21-1013,0.1,0.037,0.863
21-1015,0.239,0.118,0.642
21-1018,0.135,0.06,0.805
21-1019,0.184,0.063,0.754
21-1021,0.173,0.06,0.768
21-1022,0.304,0.077,0.619
21-1023,0.054,0.008,0.938
21-1029,0.132,0.059,0.81
21-1091,0.281,0.102,0.617
21-1092,0.115,0.042,0.843
21-1093,0.382,0.126,0.492
21-1094,0.281,0.102,0.617
21-1099,0.281,0.102,0.617
21-2011,0.192,0.05,0.758
21-2021,0.249,0.083,0.669
21-2099,0.353,0.093,0.554
23-1011,0.016,0.004,0.98
23-1012,0.136,0.066,0.798
23-1021,0.016,0.004,0.98
23-1022,0.016,0.004,0.98
23-1023,0.016,0.004,0.98
23-2011,0.345,0.201,0.455
23-2093,0.519,0.129,0.351
23-2099,0.295,0.09,0.615
25-1011,0.042,0.02,0.939
25-1021,0.042,0.02,0.939
25-1022,0.042,0.02,0.939
25-1031,0.042,0.02,0.939
25-1032,0.042,0.02,0.939
25-1041,0.042,0.02,0.939
25-1042,0.042,0.02,0.939
25-1043,0.042,0.02,0.939
25-1051,0.042,0.02,0.939
25-1052,0.042,0.02,0.939
25-1053,0.042,0.02,0.939
25-1054,0.042,0.02,0.939
25-1061,0.042,0.02,0.939
25-1062,0.042,0.02,0.939
25-1063,0.042,0.02,0.939
25-1064,0.042,0.02,0.939
25-1065,0.042,0.02,0.939
25-1066,0.042,0.02,0.939
25-1067,0.042,0.02,0.939
25-1069,0.042,0.02,0.939
25-1071,0.042,0.02,0.939
25-1072,0.042,0.02,0.939
25-1081,0.042,0.02,0.939
25-1082,0.042,0.02,0.939
25-1111,0.042,0.02,0.939
25-1112,0.042,0.02,0.939
25-1113,0.042,0.02,0.939
25-1121,0.042,0.02,0.939
25-1122,0.042,0.02,0.939
25-1123,0.042,0.02,0.939
25-1124,0.042,0.02,0.939
25-1125,0.042,0.02,0.939
25-1126,0.042,0.02,0.939
25-1192,0.042,0.02,0.939
25-1193,0.042,0.02,0.939
25-1194,0.042,0.02,0.939
25-1199,0.042,0.02,0.939
25-2011,0.323,0.125,0.553
25-2012,0.323,0.125,0.553
25-2021,0.03,0.024,0.946
25-2022,0.03,0.024,0.946
25-2023,0.03,0.024,0.946
25-2031,0.021,0.014,0.965
25-2032,0.021,0.014,0.965
25-2051,0.082,0.027,0.89
25-2052,0.082,0.027,0.89
25-2057,0.082,0.027,0.89
25-2058,0.082,0.027,0.89
25-2059,0.082,0.027,0.89
25-3011,0.304,0.079,0.617
25-3021,0.304,0.079,0.617
25-3031,0.304,0.079,0.617
25-3097,0.141,0.08,0.78
25-4011,0.176,0.039,0.785
25-4012,0.176,0.039,0.785
25-4013,0.176,0.039,0.785
25-4022,0.097,0.035,0.868
25-4031,0.51,0.072,0.418
25-9021,0.106,0.04,0.854
25-9031,0.106,0.04,0.854
25-9044,0.533,0.145,0.322
25-9045,0.533,0.145,0.322
25-9099,0.106,0.04,0.854
27-1011,0.342,0.089,0.569
27-1012,0.342,0.089,0.569
27-1013,0.342,0.089,0.569
27-1014,0.342,0.089,0.569
27-1019,0.342,0.089,0.569
27-1021,0.23,0.029,0.741
27-1022,0.193,0.117,0.689
27-1023,0.694,0.098,0.208
27-1024,0.205,0.126,0.671
27-1025,0.219,0.121,0.661
27-1026,0.562,0.094,0.342
27-1027,0.254,0.138,0.607
27-1029,0.254,0.138,0.607
27-2011,0.322,0.066,0.612
27-2012,0.179,0.057,0.764
27-2021,0.327,0.078,0.597
27-2022,0.266,0.069,0.665
