occ_code,employment_2019,employment_2029,job_openings_annual_average,median_wage,percent_self_employed_2019,typical_educational_background_for_entry,experience_required_in_a_related_occupation,link_to_oes_summary,link_to_bls_page
11-1011,287900,259100,13900,184460,24.2,Bachelor's degree,5 years or more,https://www.onetonline.org/link/summary/11-1011.00,https://www.bls.gov/oes/2019/may/oes111011.htm
11-1021,2486400,2630200,204400,100780,0.6,Bachelor's degree,5 years or more,https://www.onetonline.org/link/summary/11-1021.00,https://www.bls.gov/oes/2019/may/oes111021.htm
11-1031,53700,57000,3900,29270,,Bachelor's degree,Less than 5 years,https://www.onetonline.org/link/summary/11-1031.00,https://www.bls.gov/oes/2019/may/oes111031.htm
11-2011,28600,28300,2500,125510,11,Bachelor's degree,Less than 5 years,https://www.onetonline.org/link/summary/11-2011.00,https://www.bls.gov/oes/2019/may/oes112011.htm
11-2021,286300,305400,24600,136850,5,Bachelor's degree,5 years or more,https://www.onetonline.org/link/summary/11-2021.00,https://www.bls.gov/oes/2019/may/oes112021.htm
11-2022,433800,449200,35300,126640,5.1,Bachelor's degree,Less than 5 years,https://www.onetonline.org/link/summary/11-2022.00,https://www.bls.gov/oes/2019/may/oes112022.htm
11-3021,461000,509200,36800,146360,1.8,Bachelor's degree,5 years or more,https://www.onetonline.org/link/summary/11-3021.00,https://www.bls.gov/oes/2019/may/oes113021.htm
11-3031,697900,806000,59600,129890,2,Bachelor's degree,5 years or more,https://www.onetonline.org/link/summary/11-3031.00,https://www.bls.gov/oes/2019/may/oes113031.htm
11-3051,190100,191900,11700,105480,1,Bachelor's degree,5 years or more,https://www.onetonline.org/link/summary/11-3051.00,https://www.bls.gov/oes/2019/may/oes113051.htm
11-3061,76900,78900,5600,121110,3.5,Bachelor's degree,5 years or more,https://www.onetonline.org/link/summary/11-3061.00,https://www.bls.gov/oes/2019/may/oes113061.htm
11-3071,139400,144300,10000,94560,3.1,High school diploma or equivalent,5 years or more,https://www.onetonline.org/link/summary/11-3071.00,https://www.bls.gov/oes/2019/may/oes113071.htm
11-3111,18000,18400,1300,122270,1.9,Bachelor's degree,5 years or more,https://www.onetonline.org/link/summary/11-3111.00,https://www.bls.gov/oes/2019/may/oes113111.htm
11-3121,165200,175600,13300,116720,2.1,Bachelor's degree,5 years or more,https://www.onetonline.org/link/summary/11-3121.00,https://www.bls.gov/oes/2019/may/oes113121.htm
11-3131,42300,45400,3700,113350,3.6,Bachelor's degree,5 years or more,https://www.onetonline.org/link/summary/11-3131.00,https://www.bls.gov/oes/2019/may/oes113131.htm
11-9013,952300,890600,80900,71160,66.7,High school diploma or equivalent,5 years or more,https://www.onetonline.org/link/summary/11-9013.00,https://www.bls.gov/oes/2019/may/oes119013.htm
11-9021,476700,517100,34700,95260,37.9,Bachelor's degree,None,https://www.onetonline.org/link/summary/11-9021.00,https://www.bls.gov/oes/2019/may/oes119021.htm
11-9031,69200,69900,4600,48210,8.6,Bachelor's degree,Less than 5 years,https://www.onetonline.org/link/summary/11-9031.00,https://www.bls.gov/oes/2019/may/oes119031.htm
11-9032,283200,294400,20000,96400,1.9,Master's degree,5 years or more,https://www.onetonline.org/link/summary/11-9032.00,https://www.bls.gov/oes/2019/may/oes119032.htm
11-9033,190500,197600,13400,95410,4.1,Master's degree,Less than 5 years,https://www.onetonline.org/link/summary/11-9033.00,https://www.bls.gov/oes/2019/may/oes119033.htm
11-9039,52100,56400,4000,85450,6,Bachelor's degree,Less than 5 years,https://www.onetonline.org/link/summary/11-9039.00,https://www.bls.gov/oes/2019/may/oes119039.htm
11-9041,198100,203200,12500,144830,,Bachelor's degree,5 years or more,https://www.onetonline.org/link/summary/11-9041.00,https://www.bls.gov/oes/2019/may/oes119041.htm
11-9051,352600,354800,34800,55320,32.1,High school diploma or equivalent,Less than 5 years,https://www.onetonline.org/link/summary/11-9051.00,https://www.bls.gov/oes/2019/may/oes119051.htm
11-9071,5100,5600,600,74970,11.4,High school diploma or equivalent,Less than 5 years,https://www.onetonline.org/link/summary/11-9071.00,https://www.bls.gov/oes/2019/may/oes119071.htm
11-9081,57200,50600,4500,54430,31.1,High school diploma or equivalent,Less than 5 years,https://www.onetonline.org/link/summary/11-9081.00,https://www.bls.gov/oes/2019/may/oes119081.htm
11-9111,422300,555500,47000,100980,2.8,Bachelor's degree,Less than 5 years,https://www.onetonline.org/link/summary/11-9111.00,https://www.bls.gov/oes/2019/may/oes119111.htm
11-9121,71400,74800,4900,129100,,Bachelor's degree,5 years or more,https://www.onetonline.org/link/summary/11-9121.00,https://www.bls.gov/oes/2019/may/oes119121.htm
