occ_code,occ_title
19-3030,Psychologists
19-4061,Social Science Research Assistants
43-2090,Miscellaneous Communications Equipment Operators
49-9061,Camera and Photographic Equipment Repairers
53-7081,Refuse and Recyclable Material Collectors
11-2020,Marketing and Sales Managers
29-1215,Family Medicine Physicians
39-3092,Costume Attendants
43-5030,Dispatchers
51-5110,Printing Workers
43-6012,Legal Secretaries and Administrative Assistants
51-6000,"Textile, Apparel, and Furnishings Workers"
53-2030,Flight Attendants
41-3040,Travel Agents
33-1010,First-Line Supervisors of Law Enforcement Workers
33-9011,Animal Control Workers
39-4011,Embalmers
53-6021,Parking Attendants
47-5012,"Rotary Drill Operators, Oil and Gas"
45-2040,"Graders and Sorters, Agricultural Products"
49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment"
51-9150,Photographic Process Workers and Processing Machine Operators
51-6031,Sewing Machine Operators
29-2081,"Opticians, Dispensing"
41-2030,Retail Salespersons
29-2040,Emergency Medical Technicians and Paramedics
19-2040,Environmental Scientists and Geoscientists
47-4020,Elevator and Escalator Installers and Repairers
51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers"
53-1047,"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors"
53-6051,Transportation Inspectors
19-3031,"Clinical, Counseling, and School Psychologists"
25-1021,"Computer Science Teachers, Postsecondary"
25-1054,"Physics Teachers, Postsecondary"
11-2000,Management Occupations
29-2010,Clinical Laboratory Technologists and Technicians
11-3061,Purchasing Managers
49-9010,Control and Valve Installers and Repairers
13-1120,"Meeting, Convention, and Event Planners"
27-1029,"Designers, All Other"
51-9071,Jewelers and Precious Stone and Metal Workers
17-3010,Drafters
43-9071,"Office Machine Operators, Except Computer"
47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters"
51-9011,Chemical Equipment Operators and Tenders
29-2035,Magnetic Resonance Imaging Technologists
33-2010,Firefighters
33-9093,Transportation Security Screeners
31-2011,Occupational Therapy Assistants
11-3110,Compensation and Benefits Managers
33-1011,First-Line Supervisors of Correctional Officers
17-1011,"Architects, Except Landscape and Naval"
25-2052,"Special Education Teachers, Kindergarten and Elementary School"
21-1020,Social Workers
19-4020,Biological Technicians
19-2010,Astronomers and Physicists
13-1040,Compliance Officers
29-1223,Psychiatrists
11-9020,Construction Managers
27-2041,Music Directors and Composers
51-8011,Nuclear Power Reactor Operators
51-7011,Cabinetmakers and Bench Carpenters
51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"
29-1030,Dietitians and Nutritionists
19-5000,Occupational Health and Safety Specialists and Technicians
19-3011,Economists
47-2140,Painters and Paperhangers
53-7070,Pumping Station Operators
19-4030,Chemical Technicians
43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators"
25-1022,"Mathematical Science Teachers, Postsecondary"
25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
11-9013,"Farmers, Ranchers, and Other Agricultural Managers"
23-2099,"Legal Support Workers, All Other"
25-1194,"Career/Technical Education Teachers, Postsecondary"
43-5040,"Meter Readers, Utilities"
51-5113,Print Binding and Finishing Workers
19-3051,Urban and Regional Planners
39-3099,"Entertainment Attendants and Related Workers, All Other"
29-1126,Respiratory Therapists
51-6062,"Textile Cutting Machine Setters, Operators, and Tenders"
47-5022,"Excavating and Loading Machine and Dragline Operators, Surface Mining"
29-1218,Obstetricians and Gynecologists
29-1248,"Surgeons, Except Ophthalmologists"
49-3090,"Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers"
41-2010,Cashiers
29-2060,Licensed Practical and Licensed Vocational Nurses
31-1120,Home Health and Personal Care Aides
